OID_,BARRIER_NAME,SOURCE_ID,BARRIER_GROUP,BARRIER_TYPE,BARRIER_SPECIFIC,DAM_HEIGHT_ft,SOURCE,URL,UID,Elev_m,Slope_site_perc,Slope_segment_perc,Slope_reach_perc,Qmad_cfs,Latitude,Longitude,Sample_Type,Sampled,Sample_Date,Observer,Barrier_Expected,Barrier_Observed,Stream_Wetted,Barrier_Access,Bridge_Type,Bridge_Obstruction,Culverts_Total,Culvert_Gated,Backwatered,Water_surface_drop_m,Span_m,Bankfull_width_m,Span_div_bankfull,Rise_m,Bed_material_throughout,Bed_material_depth_outlet_m,Countersunk,Elevation_inlet_m,Elevation_outlet_m,Length_m,Slope_perc,ACCESS_LIMIT,HUC8,Basin,Depth_m,Velocity_mps,Pass_WDFG,Limit_WDFG,tnmfrc,mtfcc_code,Pass
1,,16010101cb006,Culvert,Culvert,Culvert,,UTAH_DIVISION_OF_WILDLIFE_RESOURCES,donwiley@utah.gov,UID_80963,2741.1857910,14.0799999,3.5200000,6.0400000,4.361000000000000,40.863124970000001,-110.926681380000005,Random,TRUE,10/4/2022 0:00:00,GG,Culvert,Culvert,TRUE,,,,1,TRUE,FALSE,0.000000000000000,1.820000000000000,20.000000000000000,9.100000000000000,1.230000000000000,FALSE,0.090000000000000,FALSE,2710.606999999999971,2710.253000000000156,14.912594000000000,2.373832480115897,,16010101,UBR,0.2700000,2.0760000,0.33,Slope,4,S1400,0.33
2,FORK OF YELLOW CR. #2/UNNAMED RES.,UT52005,Dam,Dam,Dam,,UTAH_DEPARTMENT_OF_WATER_RIGHTS,https://opendata.gis.utah.gov/datasets/utahDNR::utah-dam-inventory,UID_8329,2631.6755371,12.9540005,0.9300000,3.1700001,3.607000000000000,40.931450339999998,-110.941475280000006,,,,,Dam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
3,WHITNEY,83651,Dam,Dam,RE,,US_ARMY_CORPS_OF_ENGINEERS,https://nid.sec.usace.army.mil/ords/f?p=105:1::::::,UID_14411,2801.9086914,12.6510000,2.3299999,3.7400000,8.388000000000000,40.840125659999998,-110.928049790000003,,,,,Dam,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,S1400,0.0
4,,,Unknown Road Crossing,Road_Crossing,Unknown_Road_Crossing,,US_Geological_Survey_NTD,https://data.usgs.gov/datacatalog/data/USGS:ad3d631d-f51f-4b6a-91a3-e617d6a58b4e,UID_35589,2977.6508789,11.8290005,5.8299999,5.9600000,0.978000000000000,40.878607250000002,-110.982514150000000,,,,,Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,S1400,
5,,,Unknown Road Crossing,Road_Crossing,Unknown_Road_Crossing,,US_Geological_Survey_NTD,https://data.usgs.gov/datacatalog/data/USGS:ad3d631d-f51f-4b6a-91a3-e617d6a58b4e,UID_10089,2994.5036621,4.1939998,5.4499998,4.1999998,1.143000000000000,40.880916229999997,-110.986211909999994,,,,,Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,S1400,
6,,,Unknown Road Crossing,Road_Crossing,Unknown_Road_Crossing,,US_Geological_Survey_NTD,https://data.usgs.gov/datacatalog/data/USGS:ad3d631d-f51f-4b6a-91a3-e617d6a58b4e,UID_94058,2876.5078125,2.5810001,2.9300001,0.2800000,2.574000000000000,40.826838389999999,-110.940064750000005,,,,,Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,S1400,
7,,,Unknown Road Crossing,Road_Crossing,Unknown_Road_Crossing,,US_Geological_Survey_NTD,https://data.usgs.gov/datacatalog/data/USGS:ad3d631d-f51f-4b6a-91a3-e617d6a58b4e,UID_95105,2850.8425293,10.4090004,3.5200000,5.0900002,4.361000000000000,40.854674320000001,-110.951751659999999,,,,,Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,S1400,
8,,,Unknown Road Crossing,Road_Crossing,Unknown_Road_Crossing,,US_Geological_Survey_NTD,https://data.usgs.gov/datacatalog/data/USGS:ad3d631d-f51f-4b6a-91a3-e617d6a58b4e,UID_32585,2858.9001465,4.9980001,3.2500000,3.2000000,1.834000000000000,40.879335550000000,-110.953124570000000,,,,,Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,S1400,
9,,,Unknown Road Crossing,Road_Crossing,Unknown_Road_Crossing,,US_Geological_Survey_NTD,https://data.usgs.gov/datacatalog/data/USGS:ad3d631d-f51f-4b6a-91a3-e617d6a58b4e,UID_97461,2794.7697754,8.8610001,2.8099999,3.9800000,6.280000000000000,40.890421590000003,-110.951054970000001,,,,,Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,S1400,
10,,,Unknown Road Crossing,Road_Crossing,Unknown_Road_Crossing,,US_Geological_Survey_NTD,https://data.usgs.gov/datacatalog/data/USGS:ad3d631d-f51f-4b6a-91a3-e617d6a58b4e,UID_71015,2831.5500488,8.9169998,2.8699999,0.1600000,5.060000000000000,40.825027300000002,-110.930038839999995,,,,,Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,S1400,
11,,,Unknown Road Crossing,Road_Crossing,Unknown_Road_Crossing,,US_Geological_Survey_NTD,https://data.usgs.gov/datacatalog/data/USGS:ad3d631d-f51f-4b6a-91a3-e617d6a58b4e,UID_89528,2844.7734375,8.1730003,3.1400001,3.3800001,6.191000000000000,40.861539690000001,-110.967155140000003,,,,,Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,S1400,
12,,,Unknown Road Crossing,Road_Crossing,Unknown_Road_Crossing,,US_Geological_Survey_NTD,https://data.usgs.gov/datacatalog/data/USGS:ad3d631d-f51f-4b6a-91a3-e617d6a58b4e,UID_70389,2812.3537598,17.7259998,1.9900000,1.1700000,7.351000000000000,40.861549429999997,-110.957086430000004,,,,,Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,S1400,
13,,,Unknown Road Crossing,Road_Crossing,Unknown_Road_Crossing,,US_Geological_Survey_NTD,https://data.usgs.gov/datacatalog/data/USGS:ad3d631d-f51f-4b6a-91a3-e617d6a58b4e,UID_52724,2804.1884766,6.9039998,1.9900000,1.8300000,7.351000000000000,40.862958919999997,-110.954813770000001,,,,,Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,S1400,
14,,,Unknown Road Crossing,Road_Crossing,Unknown_Road_Crossing,,US_Geological_Survey_NTD,https://data.usgs.gov/datacatalog/data/USGS:ad3d631d-f51f-4b6a-91a3-e617d6a58b4e,UID_86999,2797.9428711,4.4699998,4.1799998,3.1800001,0.887000000000000,40.864369470000000,-110.951993029999997,,,,,Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,S1400,
15,,,Unknown Road Crossing,Road_Crossing,Unknown_Road_Crossing,,US_Geological_Survey_NTD,https://data.usgs.gov/datacatalog/data/USGS:ad3d631d-f51f-4b6a-91a3-e617d6a58b4e,UID_79714,2710.9365234,7.1840000,2.3399999,3.0500000,1.603000000000000,40.925736450000002,-110.931090549999993,,,,,Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,S1400,
16,,,Unknown Road Crossing,Road_Crossing,Unknown_Road_Crossing,,US_Geological_Survey_NTD,https://data.usgs.gov/datacatalog/data/USGS:ad3d631d-f51f-4b6a-91a3-e617d6a58b4e,UID_45894,2920.5009766,12.8690004,3.5200000,7.3000002,4.361000000000000,40.848262259999998,-110.968162530000001,,,,,Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,S1400,
17,,,Unknown Road Crossing,Road_Crossing,Unknown_Road_Crossing,,US_Geological_Survey_NTD,https://data.usgs.gov/datacatalog/data/USGS:ad3d631d-f51f-4b6a-91a3-e617d6a58b4e,UID_81941,2856.2453613,7.6630001,4.4299998,5.1900001,0.537000000000000,40.858862440000003,-110.953113880000004,,,,,Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,S1400,
18,,,Unknown Road Crossing,Road_Crossing,Unknown_Road_Crossing,,US_Geological_Survey_NTD,https://data.usgs.gov/datacatalog/data/USGS:ad3d631d-f51f-4b6a-91a3-e617d6a58b4e,UID_60913,2830.7045898,13.7419996,3.5200000,1.8400000,4.361000000000000,40.854463969999998,-110.947147849999993,,,,,Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,S1400,
19,,,Unknown Road Crossing,Road_Crossing,Unknown_Road_Crossing,,US_Geological_Survey_NTD,https://data.usgs.gov/datacatalog/data/USGS:ad3d631d-f51f-4b6a-91a3-e617d6a58b4e,UID_38133,2818.4729004,11.5530005,2.3299999,3.7400000,8.388000000000000,40.839225220000003,-110.928584630000003,,,,,Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,S1400,
20,,,Unknown Road Crossing,Road_Crossing,Unknown_Road_Crossing,,US_Geological_Survey_NTD,https://data.usgs.gov/datacatalog/data/USGS:ad3d631d-f51f-4b6a-91a3-e617d6a58b4e,UID_94507,2803.1281738,17.1189995,3.5200000,3.3599999,4.361000000000000,40.858441329999998,-110.938020469999998,Random,TRUE,10/4/2022 0:00:00,GG,Intersection,Absent,TRUE,,,,,,,,,,,,,,,,,,,,16010101,UBR,,,1.0,None,4,S1400,1.0
21,,,Unknown Road Crossing,Road_Crossing,Unknown_Road_Crossing,,US_Geological_Survey_NTD,https://data.usgs.gov/datacatalog/data/USGS:ad3d631d-f51f-4b6a-91a3-e617d6a58b4e,UID_15707,2708.5471191,2.4040000,2.9300001,0.8600000,0.513000000000000,40.921586269999999,-110.928415360000002,,,,,Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,S1400,
22,,,Unknown Road Crossing,Road_Crossing,Unknown_Road_Crossing,,US_Geological_Survey_NTD,https://data.usgs.gov/datacatalog/data/USGS:ad3d631d-f51f-4b6a-91a3-e617d6a58b4e,UID_75504,2848.3720703,3.8659999,3.2500000,2.5300000,1.834000000000000,40.880619400000000,-110.949935969999999,,,,,Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,S1400,
23,,,Unknown Road Crossing,Road_Crossing,Unknown_Road_Crossing,,US_Geological_Survey_NTD,https://data.usgs.gov/datacatalog/data/USGS:ad3d631d-f51f-4b6a-91a3-e617d6a58b4e,UID_74040,2866.8247070,10.9110003,2.9300001,2.0100000,2.574000000000000,40.828058239999997,-110.937254300000006,Random,TRUE,10/4/2022 0:00:00,GG,Intersection,Culvert,TRUE,,,,1,FALSE,FALSE,0.000000000000000,2.100000000000000,20.000000000000000,10.500000000000002,1.980000000000000,FALSE,0.150000000000000,FALSE,2850.590000000000146,2850.530000000000200,20.839285000000000,0.287917747657587,,16010101,UBR,0.4200000,0.4880000,1.0,None,4,S1400,1.0
24,,,Unknown Road Crossing,Road_Crossing,Unknown_Road_Crossing,,US_Geological_Survey_NTD,https://data.usgs.gov/datacatalog/data/USGS:ad3d631d-f51f-4b6a-91a3-e617d6a58b4e,UID_75689,2830.9682617,4.0229998,2.8699999,2.7000000,5.060000000000000,40.826970209999999,-110.930173300000007,,,,,Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,S1400,
