OID_,Site_ID,Y_Northing_UTM,X_Easting_UTM,Elevation_m,Year,Latitude_dd,Longitude_dd
218,ID43354 B,4649660.343000000342727,456915.493000000016764,2274.945000000000164,2023,41.997783769999998,-111.520226539999996
219,UID43354 IN,4649652.802000000141561,456917.493000000016764,2273.599999999999909,2023,41.997715960000001,-111.520201839999999
220,UID43354 OT,4649653.766999999992549,456910.304999999993015,2273.454999999999927,2023,41.997724259999998,-111.520288699999995
221,UID74040 IN,4519614.134999999776483,505306.693000000028405,2850.590000000000146,2023,40.827542299999998,-110.937076660000002
222,UID74040 B,4519621.149000000208616,505305.892999999981839,2852.242999999999938,2023,40.827605499999997,-110.937086089999994
223,UID74040 OT,4519625.152999999932945,505317.955000000016298,2850.530000000000200,2023,40.827641489999998,-110.936943009999993
224,UID52745 B,4547628.286000000312924,507560.775000000023283,2230.855000000000018,2023,41.079884550000003,-110.910002270000007
225,UID52745 IN,4547631.109000000171363,507563.411000000021886,2229.574999999999818,2023,41.079909960000002,-110.909970849999993
226,UID52745 OT,4547630.247999999672174,507551.126999999978580,2229.434999999999945,2023,41.079902310000001,-110.910117099999994
227,UID97206 B,4596474.330000000074506,486162.401000000012573,1922.994999999999891,2023,41.519794009999998,-111.165855829999998
228,UID91206 IN RL,4596477.486999999731779,486152.603999999992084,1921.181000000000040,2023,41.519822280000000,-111.165973320000006
229,UID91206 IN RR,4596473.622000000439584,486153.158999999985099,1921.576999999999998,2023,41.519787479999998,-111.165966580000003
230,UID91206 OT RL,4596478.294999999925494,486164.653999999980442,1920.192999999999984,2023,41.519829770000001,-111.165828919999996
231,UID91206 OT RR,4596474.326999999582767,486165.273999999975786,1921.480000000000018,2023,41.519794040000001,-111.165821390000005
232,UID49683 B,4596949.077999999746680,487054.162000000011176,1914.823000000000093,2023,41.524085169999999,-111.155178289999995
233,UID49683 B2,4596948.199000000022352,487056.331999999994878,1914.798000000000002,2023,41.524077290000001,-111.155152259999994
234,UID69683 B2,4596948.200000000186265,487056.331999999994878,1914.796000000000049,2023,41.524077300000002,-111.155152259999994
235,UID49683 IN,4596939.320000000298023,487019.972000000008848,1913.432999999999993,2023,41.523996720000000,-111.155587870000005
236,UID49683 OT,4596948.416000000201166,487020.651000000012573,1913.259000000000015,2023,41.524078660000001,-111.155579930000002
237,UID34974 B,4593459.601999999955297,478262.648999999975786,1994.089999999999918,2023,41.492463790000002,-111.260425060000003
238,UID34974 IN,4593459.684999999590218,478255.005000000004657,1991.589999999999918,2023,41.492464329999997,-111.260516640000006
239,UID34974 OT,4593464.026999999769032,478263.204000000027008,1991.497000000000071,2023,41.492503659999997,-111.260418569999999
240,UID94738 IN,4615933.774000000208616,433980.641999999992549,1545.884999999999991,2023,41.692451929999997,-111.793365719999997
241,UID94738 B,4615933.804999999701977,433986.571999999985565,1546.755000000000109,2023,41.692452699999997,-111.793294470000006
242,UID94739 IN,4615944.550999999977648,433969.172000000020489,1544.957000000000107,2023,41.692548039999998,-111.793504740000003
243,UID3813 B,4630407.525999999605119,458362.824000000022352,2445.650999999999840,2023,41.824461860000000,-111.501392879999997
244,UID3813 IN,4630401.696000000461936,458354.751999999978580,2444.349000000000160,2023,41.824408929999997,-111.501489660000004
245,UID3813 OT,4630392.125000000000000,458361.152000000001863,2443.835999999999785,2023,41.824323059999998,-111.501411930000003
